a/a,CHANGE_DATE,TEMPERATURE,HUMIDITY,MALE,FEMALE,MO_DACUS,FEMALE_POSOSTO,GONIMOTHTA,DAC_METRHSH_DACUS_ID,DHMOS_ID,DHMOS_CODE,DHMOS_DESCR,MIN,SYNOLO_DAKON,METEO_ID,METEO_DESCR,ALTERN_METEO_ID,ALTERN_METEO_DESCR,NOMOS_DESCR
19,08/10/11,30,56,38,21,4.21,0.36,,26476,16763,84010800,Δ.Δ.Παλαιοκάστρου,21,59,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
20,09/27/11,27,30.5,8,9,3.4,0.53,,26970,16862,84040800,Δ.Δ.Λέκας,8,17,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
21,10/04/11,27,30.5,10,12,4.4,0.55,,26971,16862,84040800,Δ.Δ.Λέκας,10,22,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
22,10/12/11,27,30.5,9,15,4.8,0.63,,26972,16862,84040800,Δ.Δ.Λέκας,9,24,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
23,10/17/11,26,30.9,2,2,0.8,0.5,,26973,16862,84040800,Δ.Δ.Λέκας,2,4,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
24,10/26/11,26,30.9,7,13,4,0.65,,26974,16862,84040800,Δ.Δ.Λέκας,7,20,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
25,07/21/11,30,47.5,12,23,6.9,0.66,,26975,16859,84040700,Δ.Δ.Κοσμαδαίων,12,35,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
26,07/28/11,29,47.8,19,21,8,0.53,,27036,16859,84040700,Δ.Δ.Κοσμαδαίων,19,40,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
27,08/03/11,30,50.9,8,5,2.5,0.38,,27037,16859,84040700,Δ.Δ.Κοσμαδαίων,5,13,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
28,08/10/11,30,51,6,7,2.5,0.54,,27038,16859,84040700,Δ.Δ.Κοσμαδαίων,6,13,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
29,08/17/11,30,51,9,11,4,0.55,,27039,16859,84040700,Δ.Δ.Κοσμαδαίων,9,20,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
30,08/24/11,29,50.9,14,16,6,0.53,,27065,16859,84040700,Δ.Δ.Κοσμαδαίων,14,30,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
31,08/30/11,29,50.9,18,27,9,0.6,,27091,16859,84040700,Δ.Δ.Κοσμαδαίων,18,45,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
32,09/06/11,29,51,9,9,3.5,0.5,,27092,16859,84040700,Δ.Δ.Κοσμαδαίων,9,18,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
33,09/13/11,29,51.9,7,13,4,0.65,,27093,16859,84040700,Δ.Δ.Κοσμαδαίων,7,20,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
