a/a,METEO_ID,METEO_CODE,METEO_DESCR,METEO_LAT,METEO_LON,YPSOMETRO,DATE,MEAN_TEMP,HIGH_TEMP,TIME_HIGH_TEMP,LOW_TEMP,TIME_LOW_TEMP,HEAT_DEG_DAYS,HEAT_LOW_DAYS,RAIN,AVG_WIND_SPEED,HIGH_WIND_SPEED,TIME_HIGH_WIND_SPEED,DOM_DIR,OUT_HUM,OUT_HUM_MAX,OUT_HUM_MIN
1,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/01/09,,,,,,,,,,,,,,,
2,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/02/09,,,,,,,,,,,,,,,
3,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/03/09,,,,,,,,,,,,,,,
4,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/04/09,,,,,,,,,,,,,,,
5,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/05/09,,,,,,,,,,,,,,,
6,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/06/09,,,,,,,,,,,,,,,
7,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/07/09,,,,,,,,,,,,,,,
8,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/08/09,,,,,,,,,,,,,,,
9,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/09/09,,,,,,,,,,,,,,,
10,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/10/09,,,,,,,,,,,,,,,
11,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/11/09,,,,,,,,,,,,,,,
12,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/12/09,,,,,,,,,,,,,,,
13,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/13/09,,,,,,,,,,,,,,,
14,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/14/09,,,,,,,,,,,,,,,
15,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/15/09,,,,,,,,,,,,,,,
16,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/16/09,,,,,,,,,,,,,,,
17,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/17/09,,,,,,,,,,,,,,,
18,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/18/09,,,,,,,,,,,,,,,
19,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/19/09,,,,,,,,,,,,,,,
20,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/20/09,,,,,,,,,,,,,,,
21,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/21/09,,,,,,,,,,,,,,,
22,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/22/09,,,,,,,,,,,,,,,
23,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,06/23/09,,,,,,,,,,,,,,,
